Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
167,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,34,20,5,feedback_r,Zone7,timelimit_screen,1999.399999999965,,,,,0,1,0,,,1,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,64,33,,,0.85,0.15,1,0,0,1,Stable,Volatile,3.672,0.828,0.513,2.059,expert
168,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,34,20,6,end,Zone1,timelimit_screen,150.60000000003492,,,,,0,1,0,,,1,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,64,33,,,0.85,0.15,1,0,0,1,Stable,Volatile,3.672,0.828,0.513,2.059,expert
169,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,35,14,1,Screen 1,Zone1,continue_button,2509.2999999970198,,,,,0,1,0,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,65,34,,,0.85,0.15,1,1,1,1,Stable,Volatile,2.261,0.866,1.811,2.849,expert
170,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,35,14,2,individual,Zone4,timelimit_screen,1000.0999999999767,,,,,0,1,0,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,65,34,,,0.85,0.15,1,1,1,1,Stable,Volatile,2.261,0.866,1.811,2.849,expert
171,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,35,14,3,offer,Zone2,response_button_image,1824.2999999970198,,,redBox.png,1,1,0,0,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,65,34,,,0.85,0.15,1,1,1,1,Stable,Volatile,2.261,0.866,1.811,2.849,expert
172,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,35,14,4,feedback_l,Zone7,timelimit_screen,2000.0999999999767,,,,,0,1,0,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,65,34,,,0.85,0.15,1,1,1,1,Stable,Volatile,2.261,0.866,1.811,2.849,expert
173,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,35,14,6,end,Zone1,timelimit_screen,150,,,,,0,1,0,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,65,34,,,0.85,0.15,1,1,1,1,Stable,Volatile,2.261,0.866,1.811,2.849,expert
174,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,36,21,1,Screen 1,Zone1,continue_button,1015.2000000029802,,,,,0,1,0,,,,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,66,35,,,0.85,0.15,1,0,0,1,Stable,Volatile,1.807,1.029,1.634,2.092,expert
175,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,36,21,2,individual,Zone4,timelimit_screen,1000,,,,,0,1,0,,,1,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,66,35,,,0.85,0.15,1,0,0,1,Stable,Volatile,1.807,1.029,1.634,2.092,expert
176,1.72106E+12,15/07/2024 15:44,1.72106E+12,1,15/07/2024 16:44,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,36,21,3,offer,Zone3,response_button_image,2233.5,,,yellowBox.png,1,0,1,0,,,,,,trial_right,redBox.png,redBox.png,yellowBox.png,al1_con.png,66,35,,,0.85,0.15,1,0,0,1,Stable,Volatile,1.807,1.029,1.634,2.092,expert
